id,appId,date,score,text
gp:AOqpTOEbBnBbA-3TCPcHd6aX5TElMySC0HSyWOucPUxlS5CeqwfDV9_d3ZjhUZHRyGAjc6Swn0YZg9UyU-Fx_uo,com.flipkart.android,December 16, 2018,5,Good
gp:AOqpTOFmTq_rHkOZH4DBxym3uq-RMoenRaaxspsBFRPYBCzhqsQKAyvuyzsFS75fdcVr7tnFrCvfXYKncs9teHU,com.flipkart.android,December 16, 2018,4,It is really good
gp:AOqpTOEybtolZUYON1yxOpO4_S0q4Ds6x9dk6IArC4RWyziv1W8F5nlRlPdJgDAzhEqvXfnZghr1iaF_UhAaNPI,com.flipkart.android,December 16, 2018,5,Good
gp:AOqpTOHLzRequ5NPn-cOuo_xwEmfRqyQ4ADwgAvUo6D0nt6D7xxEcowqPolz_RkHB0SOoZJlD43Smyb1H5sMS7Q,com.flipkart.android,December 16, 2018,5,Nice 👍 Nice
gp:AOqpTOGlOGSoRUjZ3IPhA-7q3gm996hp6V3kvlS15aNJvTslPVH5xqmq-tz3UTuZ70bVipCiecmik8IyHY63ETs,com.flipkart.android,December 16, 2018,3,Please speed delivery now
gp:AOqpTOEjspFGf2b0i4tAnUnu8B3KYWGhzkbvh3-Orqb1NGVb_hrGtDZdxttv978Rrh7Q17vzUYI9qOHjY_KK-FU,com.flipkart.android,December 16, 2018,5,Too good
gp:AOqpTOFKCe1AckSXnTaiD1dUaWFDcDTE6EvFFVWQzZT55uxzpa2F_PuJrpSME3E71ug6KhIMo9u9To72mtNprPo,com.flipkart.android,December 16, 2018,4,Just awesome
gp:AOqpTOGB16TYWn9qHefq9yd8BAo-vjApQEKHp2ImtgZeySHyPiCocmg-HCHhpqus7LpU_Qal1in4rQQjJYxPVSU,com.flipkart.android,December 16, 2018,1,Uu
gp:AOqpTOHVpbc-SmknzQmL1xL0tmw-78mu_96e11PcZLkZbaDPiXcSo7ccOF5S2BGLQzqQObWsMx31BgaOlFV6Vyc,com.flipkart.android,December 16, 2018,4,Owsome
gp:AOqpTOGVq1j95onFuUUDIXmt6SgEs2mZVKAl2e9oxPsnHUs3YB71u6kyfnatu0aMcoj_rcFKn5njMYbnwWGnw5c,com.flipkart.android,December 16, 2018,5,Good
gp:AOqpTOH62rFV_Zto6GUi6dUnmgTU-6-c-cifeklInbVbvzxIgMHGL4J4RIeuOkn-6iYPCAf7V1-E-ZrF4WSZOBg,com.flipkart.android,December 16, 2018,3,Simply gud Nice
gp:AOqpTOGUNId4I6Utwn9pikQTajI-cN9B6wjQFEt13xO2hAWPM9UiS2Kswn9b49NgKno76UMNXsmV_xjOHuEsjBU,com.flipkart.android,December 16, 2018,4,Good app.
gp:AOqpTOF2CL6bBXGPcxRRbuHRnEurK6JCRJQRjnw5SXWBRYkDbVkXgtq8fFLywhMEo0gSECyL2EfhJg9idDp4gNU,com.flipkart.android,December 16, 2018,5,Good
gp:AOqpTOGjz539BZe4RUX9Fz6oYyBcLIXxyOtsoeXPb79MUm0cnewztbm2DPhFL4ZAo9I-bDT1LVQanGCHx9jVlcQ,com.flipkart.android,December 16, 2018,4,Please deliver the goods in time with good condition and oblige.
gp:AOqpTOG8HGM1F9khtOyfCcDQ65GvY8cSaXcpQ2kj23wJjzfaUDl92JE95sFSrl8nOPvrCzDPb5YdPwjnhrwN59M,com.flipkart.android,December 16, 2018,5,Nice
gp:AOqpTOFBzcZicGJoblVZYUmB0g8-xQeDrrW6s4IxUAByQfH_PuSBY8C-W7mFoolLrDOg80kZmel5_jAmIDmX4eU,com.flipkart.android,December 16, 2018,5,Aswome
gp:AOqpTOEBVf7O_CPfLdBF_tpy7BfMFba9Thw1DWknTpPcGeyqwJO6QBNVgTGKcDReAVY10nBYoz8sc8IdXfMY6LY,com.flipkart.android,December 16, 2018,5,best
gp:AOqpTOHLdXnqYTc49IqOGMTjZDZBgTFos_45dTH1B0cOPttEbHkBhO3M5PZQ2sv4VSjasyCIHHZ64KT2XeNIp8A,com.flipkart.android,December 16, 2018,5,Super
gp:AOqpTOEmRG-72BPe2u6lwZH33VVrVOmAcRRQxFeQXE5NmBdoPXQNpbxV5rqpoYExwdvPK8TgGoSukSDSqwP0LcE,com.flipkart.android,December 16, 2018,5,Ucv
gp:AOqpTOHe5h-tPm_7sHyj2oVr4qJySAlV4p8H-L68M0-qgLdoxfkKBnVEmHEqU7C-UyNrG5P0jq-5ihoodqoeX3c,com.flipkart.android,December 16, 2018,4,Good but let dilevery
gp:AOqpTOF1lgrJmyWzSWLVsTczqoD4ypnQwfekPHRfGmRFKQP6-IFpdbdmXsX1HxrZZDl3ufx37voBYIrDZV1vfWI,com.flipkart.android,December 16, 2018,5,Well and good
gp:AOqpTOEUnLabHMO7q4CrCKHJKH0yVUeZ-Ika1sRxq0bk7Ps7lJ9GZ2JEUmEpOH6qFGCgUX3dFkdt2V-mhVpg-UQ,com.flipkart.android,December 16, 2018,5,Excellent product
gp:AOqpTOFFwkNqK8SD70FfkfFhOhPSs309COEXyJf5BbFodDCKK0Fowpr6bRcfnC519ws109iLJWhMPeQWz04HDAE,com.flipkart.android,December 16, 2018,4,Nice
gp:AOqpTOH3RsxWzK-fuQvfvV0mJfvSq8pMIiEZ0UdBa85IucJkXFpV4PUN1GwUUB7lN8dIn7QyN8IAk3m6ArMnc2s,com.flipkart.android,December 16, 2018,5,Nice
gp:AOqpTOEoIP622SeWkKiMph8OXI069_dydXl98DqhFK7e-11yTek2vzQbwACovVZe1bghYrds2ziPs4yXxmKBTW8,com.flipkart.android,December 16, 2018,5,Helps me alot
gp:AOqpTOG7OzrJtmwCNphzazfX_GW4CPsAdKknfXaWXqeqD8ZTaHrfE5zSvx6Flnyg7U3xKAdnEbRKeWeD8GYjxyc,com.flipkart.android,December 16, 2018,4,I think 👍
